Filename                                               Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
apps/zopp-cli/src/commands/diff.rs                          90                90     0.00%           2                 2     0.00%          66                66     0.00%           0                 0         -
apps/zopp-cli/src/commands/environment.rs                  180               180     0.00%          12                12     0.00%         118               118     0.00%           0                 0         -
apps/zopp-cli/src/commands/group.rs                        805               805     0.00%          57                57     0.00%         604               604     0.00%           0                 0         -
apps/zopp-cli/src/commands/invite.rs                       184               184     0.00%           8                 8     0.00%         100               100     0.00%           0                 0         -
apps/zopp-cli/src/commands/join.rs                         199               199     0.00%           2                 2     0.00%         114               114     0.00%           0                 0         -
apps/zopp-cli/src/commands/permission.rs                   962               962     0.00%          50                50     0.00%         786               786     0.00%           0                 0         -
apps/zopp-cli/src/commands/principal.rs                    599               599     0.00%          30                30     0.00%         357               357     0.00%           0                 0         -
apps/zopp-cli/src/commands/project.rs                      138               138     0.00%          12                12     0.00%          88                88     0.00%           0                 0         -
apps/zopp-cli/src/commands/secret.rs                       381               381     0.00%          17                17     0.00%         261               261     0.00%           0                 0         -
apps/zopp-cli/src/commands/sync.rs                         192               192     0.00%           4                 4     0.00%         121               121     0.00%           0                 0         -
apps/zopp-cli/src/commands/workspace.rs                    244               244     0.00%           6                 6     0.00%         119               119     0.00%           0                 0         -
apps/zopp-cli/src/config/project.rs                        131               131     0.00%          19                19     0.00%          84                84     0.00%           0                 0         -
apps/zopp-cli/src/config/user.rs                            49                49     0.00%           7                 7     0.00%          35                35     0.00%           0                 0         -
apps/zopp-cli/src/crypto.rs                                163               163     0.00%           4                 4     0.00%          89                89     0.00%           0                 0         -
apps/zopp-cli/src/grpc.rs                                  153               153     0.00%           7                 7     0.00%          77                77     0.00%           0                 0         -
apps/zopp-cli/src/k8s.rs                                    19                19     0.00%           2                 2     0.00%          20                20     0.00%           0                 0         -
apps/zopp-cli/src/main.rs                                 1011              1011     0.00%           2                 2     0.00%        1713              1713     0.00%           0                 0         -
apps/zopp-operator/src/controller.rs                       252               252     0.00%          12                12     0.00%         203               203     0.00%           0                 0         -
apps/zopp-operator/src/crd.rs                              142                 4    97.18%          17                 1    94.12%          92                 4    95.65%           0                 0         -
apps/zopp-operator/src/credentials.rs                      161               122    24.22%          20                14    30.00%         122                93    23.77%           0                 0         -
apps/zopp-operator/src/main.rs                             372               372     0.00%          18                18     0.00%         222               222     0.00%           0                 0         -
apps/zopp-operator/src/reload.rs                           175               171     2.29%          10                 9    10.00%         123               119     3.25%           0                 0         -
apps/zopp-operator/src/sync.rs                             564               564     0.00%          30                30     0.00%         410               410     0.00%           0                 0         -
apps/zopp-operator/src/watch.rs                             42                42     0.00%           1                 1     0.00%          23                23     0.00%           0                 0         -
apps/zopp-server/src/backend.rs                            182               174     4.40%          91                87     4.40%         182               174     4.40%           0                 0         -
apps/zopp-server/src/handlers/audit.rs                     476               476     0.00%          42                42     0.00%         309               309     0.00%           0                 0         -
apps/zopp-server/src/handlers/auth.rs                      329               282    14.29%          19                17    10.53%         244               208    14.75%           0                 0         -
apps/zopp-server/src/handlers/environments.rs              375               375     0.00%          27                27     0.00%         300               300     0.00%           0                 0         -
apps/zopp-server/src/handlers/group_permissions.rs        1086              1086     0.00%          84                84     0.00%         829               829     0.00%           0                 0         -
apps/zopp-server/src/handlers/groups.rs                    747               747     0.00%          59                59     0.00%         556               556     0.00%           0                 0         -
apps/zopp-server/src/handlers/invites.rs                   259               259     0.00%          23                23     0.00%         194               194     0.00%           0                 0         -
apps/zopp-server/src/handlers/mod.rs                       158               156     1.27%          79                78     1.27%         158               156     1.27%           0                 0         -
apps/zopp-server/src/handlers/permissions.rs              1104              1104     0.00%          86                86     0.00%         821               821     0.00%           0                 0         -
apps/zopp-server/src/handlers/principals.rs                644               644     0.00%          48                48     0.00%         468               468     0.00%           0                 0         -
apps/zopp-server/src/handlers/projects.rs                  302               302     0.00%          23                23     0.00%         229               229     0.00%           0                 0         -
apps/zopp-server/src/handlers/secrets.rs                   679               679     0.00%          37                37     0.00%         517               517     0.00%           0                 0         -
apps/zopp-server/src/handlers/user_permissions.rs         1116              1116     0.00%          84                84     0.00%         849               849     0.00%           0                 0         -
apps/zopp-server/src/handlers/workspaces.rs                274               274     0.00%          24                24     0.00%         216               216     0.00%           0                 0         -
apps/zopp-server/src/main.rs                               780               453    41.92%          30                22    26.67%         514               325    36.77%           0                 0         -
apps/zopp-server/src/server.rs                            1238              1171     5.41%          67                64     4.48%         881               821     6.81%           0                 0         -
crates/zopp-audit/src/lib.rs                               414               216    47.83%          43                28    34.88%         316               155    50.95%           0                 0         -
crates/zopp-config/src/lib.rs                              207               126    39.13%          27                23    14.81%         144                84    41.67%           0                 0         -
crates/zopp-crypto/src/lib.rs                              504                 3    99.40%          34                 0   100.00%         245                 0   100.00%           0                 0         -
crates/zopp-events-memory/src/lib.rs                       120                 4    96.67%          13                 1    92.31%          85                 4    95.29%           0                 0         -
crates/zopp-events-postgres/src/lib.rs                     193                13    93.26%          26                 6    76.92%         125                 9    92.80%           0                 0         -
crates/zopp-secrets/src/lib.rs                             955                46    95.18%          39                16    58.97%         577                16    97.23%           0                 0         -
crates/zopp-storage/src/lib.rs                             247               177    28.34%          94                84    10.64%         232               173    25.43%           0                 0         -
crates/zopp-store-postgres/src/lib.rs                      581               525     9.64%         242               223     7.85%         432               381    11.81%           0                 0         -
crates/zopp-store-sqlite/src/lib.rs                       1563               744    52.40%         387               323    16.54%        1079               450    58.29%           0                 0         -
xtask/src/main.rs                                          163               163     0.00%          11                11     0.00%         102               102     0.00%           0                 0         -
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                    21904             18342    16.26%        2088              1846    11.59%       16551             14172    14.37%           0                 0         -
